Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,PE Ratio,Ent. Value,MC Group,Sector,Forward PE,Country,State,Employees,Empl. Change,Empl. Growth,Revenue,Rev. Growth 3Y,Rev. Growth 5Y,Rev Growth (Yrs),Gross Profit,GP Growth,GP Growth (Q),GP Growth 5Y,GP Growth 3Y,Net Income,Op. Income,OpInc Growth,OpInc Growth (Q),OpInc Growth 3Y,OpInc Growth 5Y,NetInc Growth,NetInc Growth (Q),NetInc Growth 3Y,NetInc Growth 5Y,NetInc Growth (Yrs),NetInc Growth (Qtrs),Total Cash,Total Debt,Rev / Employee,Prof. / Employee,Working Capital,Equity,Net WC,Rev Gr. This Y,Rev Gr. Next 5Y,Rev Gr. Next Y,Rev. Growth,Rev. Growth (Q),Rev Growth (Qtrs),Volume,Debt Growth (YoY),Debt Growth (QoQ),Debt Growth (3Y),Debt Growth (5Y),Net Cash,Net Cash Growth,Cash / M.Cap,Assets,Liabilities,Gross Margin,Oper. Margin,Pretax Margin,Profit Margin,R&D / Rev,Avg. Volume,Rel. Volume,RSI,Tax / Revenue,Rev Gr. This Q,Rev Gr. Next Q
FLWS,1-800-FLOWERS.COM,696569792,10.92,1.11%,Specialty Retail,,702474792,Small-Cap,Consumer Discretionary,31.18,United States,New York,4200,,,1907476000,0.88%,9.54%,,745927000,-5.22%,-3.28%,7.91%,-1.92%,-61875000,-55103000,,-20.74%,,,,-23.78%,,,,,312017000,317922000,454161,-14732,202541000,503360000,-84043000,-6.24%,,2.85%,-11.57%,-8.44%,,327903,8.58%,-11.18%,4.55%,26.42%,-5905000,,-0.85%,1191710000,688350000,39.11%,-2.89%,-3.39%,-3.24%,3.20%,420598,77.96%,59.81,-0.15%,-5.95%,-3.19%
VCXB,10X Capital Venture Acquisition Corp. III,142102624,10.77,,Shell Companies,63.35,142077253,Micro-Cap,Financials,,United States,New York,4,,,,,,,,,,,,3820857,-4360946,,,,,,,,,1,3,25371,,,955214,182537,-13997463,157166,,,,,,,12,,,,,25371,-96.23%,0.02%,45211393,17169412,,,,,,10038,0.12%,60.96,,,
TXG,10x Genomics,4316824576,36.89,1.77%,Health Information Services,,4023499576,Mid-Cap,Healthcare,,United States,California,1259,16,1.29%,618727000,27.45%,33.43%,6,409313000,3.36%,-3.03%,28.32%,19.41%,-255099000,-265329000,,,,,,,,,,,388695000,95370000,491443,-202620,468860000,741043000,91686000,10.82%,17.69%,17.21%,19.81%,17.76%,6,1046930,0.20%,-3.15%,14.84%,26.30%,293325000,-14.34%,6.79%,965143000,224100000,66.15%,-42.88%,-40.21%,-41.23%,43.69%,1403080,74.62%,34.24,1.02%,7.41%,8.17%
YI,"111, Inc.",87352928,1.01,-2.88%,Pharmaceutical Retailers,,38840447,Micro-Cap,Healthcare,,China,,1657,,,2108339774,22.14%,52.95%,7,117476338,1.07%,-15.48%,52.11%,32.40%,-55386883,-48444263,,,,,,,,,2,,103958737,55446256,1272384,-33426,21986771,-79174877,-35191233,61.85%,,,10.59%,-0.96%,,83238,43.38%,-3.25%,11.17%,,48512481,-48.93%,55.54%,427441745,393300769,5.57%,-2.30%,-2.58%,-2.63%,0.82%,81508,102.12%,27.80,0.00%,,
YQ,17 Education & Technology Group,30658290,2.97,,Education & Training Services,,-32903206,Nano-Cap,Consumer Staples,,China,,480,,,24113117,-49.07%,,,11166411,-75.16%,-0.23%,,-53.42%,-43974894,-47424626,,,,,,,,,2,1,65956166,2394670,50236,-91614,62281765,68389163,-2616330,,,,-67.81%,19.69%,1,3112,-34.08%,-6.75%,-54.81%,,63561496,-35.43%,207.32%,94713932,26324769,46.31%,-196.68%,-178.90%,-182.37%,96.36%,18790,16.56%,54.54,,,
TURN,180 Degree Capital,42100420,4.17,-0.24%,Asset Management,,41854331,Nano-Cap,Financials,,United States,New Jersey,7,,,-7890104,,,1,-5875965,,,,,-35610582,-35874487,,,,,,,,,,,282167,36078,,-5087226,-289425,50218160,,,,,,,,10906,,-33.55%,,-62.70%,246089,-62.46%,0.58%,51170949,952789,74.47%,454.68%,451.35%,451.33%,,15222,71.65%,43.55,,,
ATNF,180 Life Sciences,1439918,2.01,1.52%,Biotechnology,,518179,Nano-Cap,Healthcare,6.08,United States,California,5,,,,,,,,,,,,-19935112,-13477500,,,,,,,,,1,2,1975799,1054060,,-3987022,-1422710,-127733,-2364385,,,481.87%,,,,199153,-21.32%,196.83%,-34.68%,,921739,-83.63%,64.01%,5259476,5387209,,,,,,101658,195.90%,30.83,,,
EFSH,1847 Holdings LLC,6058759,1.95,-11.76%,Conglomerates,,41545933,Nano-Cap,Industrials,,United States,New York,246,,,63063840,109.17%,56.77%,3,22171596,16.90%,64.91%,33.54%,93.16%,-16607112,-6340197,,,,,,,,,,1,2334567,37821741,256357,-67509,618235,2491844,3228818,,,,21.43%,29.75%,3,177000,26.89%,5.81%,63.85%,43.93%,-35487174,,-585.72%,60695233,58210015,35.16%,-10.05%,-21.51%,-26.33%,,255895,69.17%,47.39,-0.01%,,
BCOW,1895 Bancorp of Wisconsin,41606648,6.81,,Banks - Regional,,103766648,Nano-Cap,Financials,,United States,Wisconsin,98,,,13761000,-8.88%,-2.01%,,13761000,-13.06%,-66.01%,-2.01%,-8.88%,-4486000,-3642000,,,,,,,,,,,26603000,88763000,140418,-45776,,70159000,,,,,-13.06%,-66.01%,,817,32.13%,-10.91%,3.39%,13.45%,-62160000,,-149.40%,554576000,484417000,100.00%,-26.47%,-25.32%,-32.60%,,4804,17.01%,37.19,7.28%,,
SRCE,1st Source,1233548032,51.66,2.85%,Banks - Regional,10.08,1522914032,Small-Cap,Financials,10.92,United States,Indiana,1170,20,1.74%,363404000,7.36%,4.51%,3,363404000,6.42%,0.11%,4.51%,7.36%,124927000,161680000,3.12%,-10.95%,14.99%,9.01%,3.67%,-8.49%,15.33%,8.68%,3,,129668000,419034000,310602,106775,,989568000,,5.33%,,1.89%,6.42%,0.11%,5,49951,30.60%,11.04%,12.89%,4.94%,-289366000,,-23.46%,8727958000,7659695000,100.00%,44.49%,44.49%,34.38%,,66096,75.57%,56.12,10.11%,5.58%,5.07%
